Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Reper_amplasare,Indicativ,xcoord,ycoord,zcoord
Parcul Central Simion Barnutiu,Reper amplasare: In fata Cazinoului<br>Indicativ: 1,,,,,-1,0,-1,,,In fata Cazinoului,"1",23.577248,46.769138,0
Parcul Central Simion Barnutiu,Reper amplasare: Zona de SE a Casinoului<br>Indicativ: 2,,,,,-1,0,-1,,,Zona de SE a Casinoului,"2",23.578276,46.768634,0
Parcul Central Simion Barnutiu,Reper amplasare: Partea de Vest a parcului<br>Indicativ: 3,,,,,-1,0,-1,,,Partea de Vest a parcului,"3",23.575629,46.768508,0
Parcul Central Simion Barnutiu,Reper amplasare: Intrarea de Est in parc<br>Indicativ: 4,,,,,-1,0,-1,,,Intrarea de Est in parc,"4",23.583244,46.772048,0
Parcul Central Simion Barnutiu,Reper amplasare: Intrarea de Nord spre pod Napoca<br>Indicativ: 5,,,,,-1,0,-1,,,Intrarea de Nord spre pod Napoca,"5",23.578224,46.770605,0
"Parcul de joaca ptr copii ""Coca-Cola""","Reper amplasare: In zona de Vest a Parcului, langa fantana arteziana<br>Indicativ: 12",,,,,-1,0,-1,,,"In zona de Vest a Parcului, langa fantana arteziana","12",23.574112,46.768656,0
Aleea Stadionului,"Reper amplasare: Intrare in parc ""Coca-Cola""<br>Indicativ: 13",,,,,-1,0,-1,,,"Intrare in parc ""Coca-Cola""","13",23.574681,46.768429,0
Parcul Central Simion Barnutiu,Reper amplasare: Intre aleea principala si fac. de Chimie<br>Indicativ: 6,,,,,-1,0,-1,,,Intre aleea principala si fac. de Chimie,"6",23.58148,46.77105,0
Parcul Central Simion Barnutiu,Reper amplasare: Aleea centrala in apropierea fac. de Arte<br>Indicativ: 7,,,,,-1,0,-1,,,Aleea centrala in apropierea fac. de Arte,"7",23.578404,46.770074,0
Parcul Rozelor,Reper amplasare: Langa fantana arteziana<br>Indicativ: 8,,,,,-1,0,-1,,,Langa fantana arteziana,"8",23.552546,46.764097,0
P-ta Mihai Viteazul,Reper amplasare: Langa flacara eroilor<br>Indicativ: 14,,,,,-1,0,-1,,,Langa flacara eroilor,"14",23.588643,46.773942,0
P-ta Unirii,Reper amplasare: intrarea in parcarea auto<br>Indicativ: 15,,,,,-1,0,-1,,,intrarea in parcarea auto,"15",23.589867,46.770425,0
P-ta Unirii,Reper amplasare: In fata bisericii Sf. Mihail<br>Indicativ: 16,,,,,-1,0,-1,,,In fata bisericii Sf. Mihail,"16",23.588792,46.770072,0
P-ta Avram Iancu,Reper amplasare: Viz a vis de Teatru<br>Indicativ: 17,,,,,-1,0,-1,,,Viz a vis de Teatru,"17",23.597166,46.771027,0
B-dul Eroilor,"Reper amplasare: Langa fantana arteziana mica, dinspre P-ta A. Iancu<br>Indicativ: 18",,,,,-1,0,-1,,,"Langa fantana arteziana mica, dinspre P-ta A. Iancu","18",23.595159,46.770359,0
B-dul Eroilor,Reper amplasare: Langa Clopotul Memorandistilor<br>Indicativ: 19,,,,,-1,0,-1,,,Langa Clopotul Memorandistilor,"19",23.590967,46.769382,0
P-ta Muzeului,Reper amplasare: Intre Obelisc si terase<br>Indicativ: 20,,,,,-1,0,-1,,,Intre Obelisc si terase,"20",23.58722,46.771742,0
Parcul Primaverii,Reper amplasare: Langa WC public<br>Indicativ: 21,,,,,-1,0,-1,,,Langa WC public,"21",23.557684,46.757963,0
Parcul Minerva,Reper amplasare: Langa fantana arteziana<br>Indicativ: 22,,,,,-1,0,-1,,,Langa fantana arteziana,"22",23.555601,46.754368,0
Parcul Detunata,"Reper amplasare: Aleea de intrare in parc, de pe al. Detunata spre gradinita<br>Indicativ: 23",,,,,-1,0,-1,,,"Aleea de intrare in parc, de pe al. Detunata spre gradinita","23",23.628372,46.765607,0
Expo Transilvania,Reper amplasare: Parcul de joaca langa Expo Transilvania<br>Indicativ: 24,,,,,-1,0,-1,,,Parcul de joaca langa Expo Transilvania,"24",23.626914,46.781375,0
Parcul Coastei,"Reper amplasare: Str. Episcop Nicolae Ivan, in apropiere de Gr. Vrajitorul din OZ<br>Indicativ: 25",,,,,-1,0,-1,,,"Str. Episcop Nicolae Ivan, in apropiere de Gr. Vrajitorul din OZ","25",23.615619,46.775944,0
Parcul Tulcea,Reper amplasare: In est de lacul 3 (Intre Laacuri)<br>Indicativ: 26,,,,,-1,0,-1,,,In est de lacul 3 (Intre Laacuri),"26",23.634874,46.774544,0
Parcul Baza Sportiva Unirea,Reper amplasare: Intre final alee serpuita si foisor<br>Indicativ: 27,,,,,-1,0,-1,,,Intre final alee serpuita si foisor,"27",23.54006,46.749078,0
Str. Memorandumului,Reper amplasare: In statie pe partea Sudica<br>Indicativ: 28,,,,,-1,0,-1,,,In statie pe partea Sudica,"28",23.586995,46.76952,0
Parcul Buna Ziua,Reper amplasare: Langa Biserica Sf. Mare Mucenic Mina<br>Indicativ: 30,,,,,-1,0,-1,,,Langa Biserica Sf. Mare Mucenic Mina,"30",23.603936,46.752049,0
P-ta Lucian Blaga,Reper amplasare: Latura Nord-Vestica a pietei<br>Indicativ: 31,,,,,-1,0,-1,,,Latura Nord-Vestica a pietei,"31",23.585629,46.767315,0
P-ta Lucian Blaga,Reper amplasare: Pe latura Nordica a pietei<br>Indicativ: 32,,,,,-1,0,-1,,,Pe latura Nordica a pietei,"32",23.586429,46.767485,0
Str. Republicii,Reper amplasare: Latura Sud Vestica a pietei<br>Indicativ: 33,,,,,-1,0,-1,,,Latura Sud Vestica a pietei,"33",23.585709,46.766865,0
Str. Emile Zola 4,Reper amplasare: intersectie cu str. Sextil Puscariu<br>Indicativ: 34,,,,,-1,0,-1,,,intersectie cu str. Sextil Puscariu,"34",23.588419,46.771918,0
Piateta Cuza Voda,Reper amplasare: In fata la CEC<br>Indicativ: 35,,,,,-1,0,-1,,,In fata la CEC,"35",23.595138,46.772591,0
Piateta Cuza Voda,Reper amplasare: intersectie cu str. Brassai (langa statie biciclete)<br>Indicativ: 36,,,,,-1,0,-1,,,intersectie cu str. Brassai (langa statie biciclete),"36",23.594443,46.772991,0
Str. Regele Ferdinand 8,Reper amplasare: In fata Trezoreriei<br>Indicativ: 37,,,,,-1,0,-1,,,In fata Trezoreriei,"37",23.58975,46.771666,0
Str. Emil Isac,Reper amplasare: La intersectia Str. Emil Isac si str. Sindicatrelor<br>Indicativ: 38,,,,,-1,0,-1,,,La intersectia Str. Emil Isac si str. Sindicatrelor,"38",23.585184,46.76957,0
Str. Primaverii 8,"Reper amplasare: In parculetul din spate Parking, spre Est<br>Indicativ: 39",,,,,-1,0,-1,,,"In parculetul din spate Parking, spre Est","39",23.5557,46.755351,0
Str. Molnar Piuariu,Reper amplasare: Smart street N<br>Indicativ: 49,,,,,-1,0,-1,,,Smart street N,"49",23.622293,46.782768,0
Str. Molnar Piuariu,Reper amplasare: Smart street S<br>Indicativ: 50,,,,,-1,0,-1,,,Smart street S,"50",23.622616,46.782078,0
Parcul Rozelor,"Reper amplasare: Pe latura sudica a parcului, langa poarta<br>Indicativ: 9",,,,,-1,0,-1,,,"Pe latura sudica a parcului, langa poarta","9",23.552791,46.764436,0
Parcul Rozelor,"Reper amplasare: Pe latura Sudica a parcului, spre est<br>Indicativ: 10",,,,,-1,0,-1,,,"Pe latura Sudica a parcului, spre est","10",23.553141,46.764567,0
Parcul Rozelor,"Reper amplasare: Pe partea sudica a parcului, in zona vestica<br>Indicativ: 11",,,,,-1,0,-1,,,"Pe partea sudica a parcului, in zona vestica","11",23.552504,46.76441,0
Parcul Farmec,Reper amplasare: La intrarea in parc dinspre Nord<br>Indicativ: 61,,,,,-1,0,-1,,,La intrarea in parc dinspre Nord,"61",23.606928,46.780895,0
Parcul Farmec,Reper amplasare: Zona centrala a parcului<br>Indicativ: 62,,,,,-1,0,-1,,,Zona centrala a parcului,"62",23.606775,46.780695,0
Parcul Farmec,Reper amplasare: Zona centrala a parcului<br>Indicativ: 63,,,,,-1,0,-1,,,Zona centrala a parcului,"63",23.606777,46.780603,0
Parcul Farmec,Reper amplasare: Zona de Sud Est a parcului<br>Indicativ: 64,,,,,-1,0,-1,,,Zona de Sud Est a parcului,"64",23.607095,46.780465,0
Parcul Farmec,Reper amplasare: Intrarea de Est a parcului<br>Indicativ: 65,,,,,-1,0,-1,,,Intrarea de Est a parcului,"65",23.607517,46.780334,0
Parcul Farmec,"Reper amplasare: Zona Centrala a parcului, spre Vest<br>Indicativ: 66",,,,,-1,0,-1,,,"Zona Centrala a parcului, spre Vest","66",23.606579,46.780608,0
Parcul Intre Lacuri II,Reper amplasare: Intrarea de Nord in parc din Str. Nirajului<br>Indicativ: 45,,,,,-1,0,-1,,,Intrarea de Nord in parc din Str. Nirajului,"45",23.632546,46.779596,0
Parcul Intre Lacuri II,"Reper amplasare: Zona centrala a parcului, langa terenul de baschet<br>Indicativ: 46",,,,,-1,0,-1,,,"Zona centrala a parcului, langa terenul de baschet","46",23.633155,46.778991,0
Parcul Intre Lacuri II,Reper amplasare: Intrarea in parc dinspre Str. Muresului<br>Indicativ: 47,,,,,-1,0,-1,,,Intrarea in parc dinspre Str. Muresului,"47",23.633028,46.77859,0
Parcul Intre Lacuri II,Reper amplasare: Intrarea Sudica in parc la intersectia strazilor Muresului si Oltului<br>Indicativ: 48,,,,,-1,0,-1,,,Intrarea Sudica in parc la intersectia strazilor Muresului si Oltului,"48",23.633179,46.778107,0
Cimitirul Central,"Reper amplasare: Intrarea Sudica, langa poarta, pe dreapta<br>Indicativ: 51",,,,,-1,0,-1,,,"Intrarea Sudica, langa poarta, pe dreapta","51",23.595959,46.758294,0
Cimitirul Central,"Reper amplasare: In fata birourilor cimitirului, spre Capela<br>Indicativ: 52",,,,,-1,0,-1,,,"In fata birourilor cimitirului, spre Capela","52",23.59183,46.76574,0
